frame,t,norm,peak_density,Fz,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
88,1.860000e+00,9.994386e-01,1.107113e-02,5.811474e+00,8.447018e-01,1.291037e-01,2.279438e-02,3.058784e-03,3.155494e-04,2.437987e-05,1.398701e-06,5.825437e-08,1.721466e-09,3.467400e-11,4.489583e-13,3.331541e-15,1.074160e-17
89,1.880000e+00,9.994311e-01,1.114738e-02,5.808608e+00,8.426810e-01,1.304612e-01,2.333563e-02,3.164842e-03,3.300856e-04,2.576534e-05,1.493301e-06,6.279104e-08,1.872925e-09,3.805626e-11,4.969166e-13,3.715782e-15,1.206923e-17
90,1.900000e+00,9.994236e-01,1.122581e-02,5.805761e+00,8.406841e-01,1.317917e-01,2.387809e-02,3.272181e-03,3.449747e-04,2.719837e-05,1.592171e-06,6.757580e-08,2.034165e-09,4.168812e-11,5.488710e-13,4.135251e-15,1.353048e-17
91,1.920000e+00,9.994159e-01,1.130639e-02,5.802933e+00,8.387115e-01,1.330955e-01,2.442159e-02,3.380743e-03,3.602143e-04,2.867915e-05,1.695390e-06,7.261541e-08,2.205553e-09,4.558111e-11,6.050517e-13,4.592256e-15,1.513561e-17
92,1.940000e+00,9.994082e-01,1.138902e-02,5.800124e+00,8.367630e-01,1.343726e-01,2.496601e-02,3.490476e-03,3.758029e-04,3.020784e-05,1.803039e-06,7.791662e-08,2.387462e-09,4.974681e-11,6.656951e-13,5.089174e-15,1.689544e-17
93,1.960000e+00,9.994003e-01,1.147354e-02,5.797334e+00,8.348384e-01,1.356235e-01,2.551127e-02,3.601330e-03,3.917393e-04,3.178462e-05,1.915201e-06,8.348620e-08,2.580271e-09,5.419685e-11,7.310444e-13,5.628451e-15,1.882137e-17
94,1.980000e+00,9.993924e-01,1.155972e-02,5.794562e+00,8.329374e-01,1.368484e-01,2.605734e-02,3.713259e-03,4.080234e-04,3.340965e-05,2.031960e-06,8.933096e-08,2.784363e-09,5.894288e-11,8.013499e-13,6.212586e-15,2.092543e-17
95,2.000000e+00,9.993843e-01,1.164730e-02,5.791809e+00,8.310594e-01,1.380481e-01,2.660423e-02,3.826224e-03,4.246561e-04,3.508312e-05,2.153406e-06,9.545776e-08,3.000132e-09,6.399653e-11,8.768689e-13,6.844128e-15,2.322032e-17
96,2.020000e+00,9.993762e-01,1.173599e-02,5.789074e+00,8.292038e-01,1.392231e-01,2.715200e-02,3.940190e-03,4.416395e-04,3.680522e-05,2.279630e-06,1.018735e-07,3.227984e-09,6.936931e-11,9.578659e-13,7.525655e-15,2.571946e-17
97,2.040000e+00,9.993679e-01,1.182539e-02,5.786355e+00,8.273698e-01,1.403742e-01,2.770076e-02,4.055129e-03,4.589772e-04,3.857620e-05,2.410732e-06,1.085852e-07,3.468339e-09,7.507261e-11,1.044614e-12,8.259760e-15,2.843701e-17
