t_ms,N_K3_0,N_K3_1e40,E_K3_0,E_K3_1e40,Fz_K3_0,Fz_K3_1e40,B_uG
144.68630850822274,1.0000000000136686,0.5048249617346474,-24.938743397879954,-14.015083370077647,-5.992563573584242,-5.995510169198042,418.0079844708807
146.4948873645742,1.0000000000138531,0.5015026119744368,-24.131279179814555,-13.529521853925438,-5.992268996539523,-5.99538184063796,408.90066747989823
148.30346622092566,1.000000000014038,0.49819658110356496,-23.32385827710127,-13.049662909901752,-5.991954401500304,-5.995190747449784,399.79335048891585
150.11204507727714,1.0000000000142242,0.49494506441617253,-22.52344782711913,-12.579631973867123,-5.9916086249793326,-5.9950244424670585,390.76460524843037
151.92062393362863,1.0000000000144116,0.49172307371826485,-21.828544910066917,-12.167262028984553,-5.991268926950918,-5.9948061968427275,382.925556441188
153.7292027899801,1.0000000000145997,0.4885406931659127,-21.133679816380944,-11.760056015686018,-5.990937493209393,-5.994693673954074,375.0865076339457
155.53778164633155,1.0000000000147897,0.48538600593031955,-20.438855246879037,-11.357765202113493,-5.99056031527996,-5.994464125955994,367.2474588267034
157.34636050268304,1.0000000000149816,0.48227970335204007,-19.744073236077938,-10.960663055731537,-5.99018668469822,-5.994292197967938,359.40841001946103
159.15493935903453,1.0000000000151732,0.4791979057157384,-19.049336986814744,-10.568269264219408,-5.989791196428049,-5.994070669392614,351.56936121221867
160.963518215386,1.0000000000153673,0.47614954983818375,-18.35464876934619,-10.180665238432576,-5.989380682289553,-5.993926157608253,343.73031240497636
162.77209707173745,1.0000000000155624,0.47314081634011507,-17.660012323632646,-9.797890908838234,-5.988912819720061,-5.993637169440069,335.891263597734
164.5806759280889,1.0000000000157596,0.47016169007626724,-16.965431518696757,-9.419713109731871,-5.988422289959177,-5.9934658070594375,328.05221479049163
166.38925478444042,1.0000000000159583,0.46721128981262094,-16.270908526753928,-9.046051124101231,-5.987885527761258,-5.9931139873442785,320.2131659832493
168.19783364079188,1.0000000000161593,0.4642946628078765,-15.576448636529307,-8.676933517208726,-5.987325366485089,-5.992860967827446,312.37411717600696
170.00641249714334,1.0000000000163611,0.4614156000894146,-14.882054864801475,-8.312319835907793,-5.986717410500992,-5.992508266265345,304.5350683687646
171.8149913534948,1.0000000000165652,0.4585530090944469,-14.18773329068345,-7.951899905241472,-5.98607435968832,-5.992245420775317,296.69601956152223
173.6235702098463,1.0000000000167715,0.4557324162483666,-13.493488996709749,-7.595904959598808,-5.985412696978847,-5.9918553971655,288.8569707542799
175.43214906619778,1.0000000000169806,0.4529348485533818,-12.826161809293287,-7.2562564809317145,-5.984659800979967,-5.991632925620452,281.3209670198951
177.24072792254924,1.000000000017192,0.45017134121837565,-12.244373819106423,-6.959167243464629,-5.984009855139571,-5.991221232048382,274.7501863963928
179.0493067789007,1.0000000000174043,0.4474249003056366,-11.662651991414611,-6.665467933945714,-5.98331034332734,-5.9909093777215725,268.17940577289045
180.8578856352522,1.0000000000176208,0.4447246008227732,-11.081002730889683,-6.3753517832755735,-5.982558175282951,-5.990514697468854,261.60862514938816
182.66646449160368,1.0000000000178393,0.44203460761871166,-10.499428703999017,-6.088480314973889,-5.981757369443387,-5.990134802120825,255.03784452588587
184.47504334795514,1.0000000000180609,0.43938338785179853,-9.917937719695797,-5.8050063139627746,-5.9808431069058345,-5.989722749070613,248.4670639023836
