nu_Hz,N0,value
16.554621848739497,41062.49917244294,9.541254901496702
16.554621848739497,44366.873309786155,8.968395295511506
16.554621848739497,47937.15645558219,8.42993034007884
16.554621848739497,51794.74679231213,7.9237949707845425
16.554621848739497,55962.76445319552,7.448048110257946
16.554621848739497,60466.19009070435,7.000865223955249
16.554621848739497,65332.014595937704,6.580531322895624
16.554621848739497,70589.40086618738,6.185434386515087
16.554621848739497,76269.85859023452,5.814059180414
16.554621848739497,82407.43309893666,5.46498144528882
16.554621848739497,89038.90941296735,5.136862434761871
16.554621848739497,96204.0327106476,4.828443781161479
16.554621848739497,103945.74653722627,4.53854266956201
16.554621848739497,112310.45018329516,4.26604730157594
16.554621848739497,121348.27677491431,4.009912631501084
16.554621848739497,131113.3937421563,3.7691563584707546
16.554621848739497,141664.3274669022,3.5428551592363173
16.554621848739497,153064.31405563594,3.3301411471345834
16.554621848739497,165381.6783395673,3.1301985436597195
16.554621848739497,178690.24337358287,2.942260549874958
16.554621848739497,193069.77288832495,2.7656064056656144
16.554621848739497,208606.44934719568,2.5995586255553498
16.554621848739497,225393.39047347888,2.4434804004848276
16.554621848739497,243531.20734334175,2.2967731555882764
16.554621848739497,263128.6073895945,2.1588742546018613
16.554621848739497,284303.0459302665,2.029254842099972
16.554621848739497,307181.43012686964,1.9074178152842884
16.554621848739497,331900.87959146773,1.7928959175471821
16.554621848739497,358609.54820118286,1.6852499464980897
16.554621848739497,387467.51204561285,1.5840670695805044
16.554621848739497,418647.72882899473,1.488959240819778
16.554621848739497,452337.0744772105,1.3995617126298292
16.554621848739497,488737.4631624427,1.315531636971406
16.554621848739497,528067.0574582637,1.236546750497168
16.554621848739497,570561.5758781021,1.1623041386410538
16.554621848739497,616475.7056337161,1.0925190739120514
16.554621848739497,666084.6290809154,1.026923923937138
16.554621848739497,719685.6730011514,0.9652671250656277
16.554621848739497,777600.0906038043,0.9073122175986013
16.554621848739497,840174.9869294344,0.852836938943427
16.554621848739497,907785.3991937558,0.8016323712155379
16.554621848739497,980836.5445406671,0.753502140018438
16.554621848739497,1.0597662486760707e6,0.7082616613291783
16.554621848739497,1.1450475699382813e6,0.6657374336010415
16.554621848739497,1.2371916345321594e6,0.6257663723685771
16.554621848739497,1.336750699919709e6,0.5881951848031324
16.554621848739497,1.4443214647272818e6,0.5528797818202555
16.554621848739497,1.5605486450070748e6,0.5196847254843177
16.554621848739497,1.6861288382868804e6,0.4884827095911291
16.554621848739497,1.8218146985669748e6,0.4591540714365134
16.554621848739497,1.9684194472866112e6,0.4315863328984356
16.554621848739497,2.126821747296208e6,0.4056737690726853
16.554621848739497,2.2979709690469606e6,0.38131700280779407
16.554621848739497,2.48289288056033e6,0.35842262358419075
16.554621848739497,2.6826957952797273e6,0.3369028292759591
16.554621848739497,2.898577214651068e6,0.3166750894213155
16.554621848739497,3.131831005243845e6,0.2976618287104251
16.554621848739497,3.383855153428233e6,0.27979012947669696
16.554621848739497,3.6561601440851935e6,0.26299145205058394
16.554621848739497,3.9503780135666407e6,0.24720137190341832
16.554621848739497,4.268272131163825e6,0.23235933257320626
16.554621848739497,4.611747767708261e6,0.21840841342482603
16.554621848739497,4.982863514647306e6,0.20529511135396658
16.554621848739497,5.383843622033489e6,0.19296913559762566
16.554621848739497,5.817091329374358e6,0.18138321486424114
16.554621848739497,6.285203269240097e6,0.17049291604378347
16.554621848739497,6.790985029955707e6,0.1602564738025447
16.554621848739497,7.337467970651373e6,0.150634630409104
16.554621848739497,7.927927389450606e6,0.141590485177186
16.554621848739497,8.565902153685499e6,0.13308935294801463
16.554621848739497,9.255215909791354e6,0.1250986310694215
16.554621848739497,1.0e7,0.11758767436157035
